243;LD1M / 00066839 / 4;297/14;0,0900 HA;
244;LD1M / 00066977 / 3;95/695/8;1,1761 HA;
245;LD1M / 00066978 / 0;443/1;0,0983 HA;
246;LD1M / 00067108 / 8;247/1;0,4500 HA;
247;LD1M / 00067170 / 3;161/5;0,0862;
248;LD1M / 00067171 / 0;161/6161/8;0,0817 HA;
249;LD1M / 00067173 / 4;236/1;0,0731 HA;
250;LD1M / 00067178 / 9;236/11;0,1616 HA;
251;LD1M / 00067179 / 6;236/9;0,1501;
252;LD1M / 00067180 / 6;124/1;0,1461 HA;
253;LD1M / 00067181 / 3;124/2;0,1462 HA;
254;LD1M / 00067459 / 3;131/5131/6;0,1160 HA;
255;LD1M / 00067460 / 3;131/2;0,0867 HA;
256;LD1M / 00067691 / 1;325/5;0,1104 HA;
257;LD1M / 00067734 / 5;114/1114/4;0,0700 HA;
258;LD1M / 00067884 / 1;314/5314/7285/1;1,1769 HA;
259;LD1M / 00067885 / 8;14/1;0,0851 HA;
260;LD1M / 00067886 / 5;438;0,1377 HA;
261;LD1M / 00068421 / 5;88;0,1568 HA;
262;LD1M / 00068443 / 5;326/13;0,3201 HA;
263;LD1M / 00068558 / 4;114/2;0,0600 HA;
264;LD1M / 00068796 / 4;304/4;0,1281 HA;
265;LD1M / 00068835 / 0;305/10;0,0797 HA;
266;LD1M / 00068837 / 4;439/1439/3;0,0912 HA;
267;LD1M / 00068838 / 1;440/1443/5;0,3294 HA;
268;LD1M / 00068839 / 8;15/4;0,0217 HA;
269;LD1M / 00069284 / 9;130/7;0,1208 HA;
270;LD1M / 00069365 / 1;199/9;0,0500 HA;
271;LD1M / 00069470 / 0;355/1;0,2000 HA;
272;LD1M / 00069621 / 4;331;0,1299 HA;
273;LD1M / 00069631 / 7;4;700,0000 M2;
274;LD1M / 00069702 / 6;152/1;0,0535 HA;
275;LD1M / 00069807 / 2;354/1;0,0900 HA;
276;LD1M / 00069974 / 3;130/6;0,1132 HA;
277;LD1M / 00070156 / 3;199/3;0,0769 HA;
278;LD1M / 00070238 / 2;300/4;0,0146 HA;
279;LD1M / 00070254 / 0;15/5;0,0842 HA;
280;LD1M / 00070458 / 0;81/3;0,1300 HA;
281;LD1M / 00070834 / 0;315;0,9800 HA;
282;LD1M / 00071520 / 3;59;0,2000 HA;
283;LD1M / 00071728 / 1;445/4;0,0619 HA;
284;LD1M / 00071785 / 8;300/1;0,0854 HA;
285;LD1M / 00072851 / 9;21/2;0,2396 HA;
null;null;null;null;
null;null;null;null;
286;LD1M / 00011781 / 2;393;0,1400 HA;
null;null;null;null;
287;LD1M / 00011781 / 2;393;0,1400 HA;
288;LD1M / 00011783 / 6;334;0,1400;
289;LD1M / 00011784 / 3;335;0,1384 HA;
290;LD1M / 00012733 / 8;171819202122;0,3013 HA;
291;LD1M / 00012776 / 1;BRAK;0,3000 HA;
292;LD1M / 00012777 / 8;BRAK;0,4508 HA;
293;LD1M / 00012779 / 2;8;0,1100 HA;
294;LD1M / 00012780 / 2;9;0,1000 HA;
295;LD1M / 00013949 / 2;4 A;0,2756 HA;
296;LD1M / 00013950 / 2;13;0,0750 HA;
297;LD1M / 00013965 / 0;11;0,1487 HA;
298;LD1M / 00013967 / 4;63366/5;0,8879 HA;
299;LD1M / 00014755 / 2;14;0,1269 HA;
300;LD1M / 00015034 / 9;698;0,6000;
301;LD1M / 00015161 / 8;BRAK;0,1879 HA;
302;LD1M / 00015162 / 5;311/3;0,0948 HA;
